Id,TimeStamp,Name,EvalCriteria,UnmarkTime,WholeTargetLifeEvaluation,Entity_id,TrainingSession_id
1,0,,{evalType:'BasicMarksmanship'},9.068405,1,5,1
2,0,,{evalType:'BasicMarksmanship'},9.068405,0,5,1
3,9.166263,,{evalType:'BasicMarksmanship'},88.774,1,10,2
4,9.166263,,{evalType:'BasicMarksmanship'},40.26154,0,10,2
5,88.88128,,{evalType:'BasicMarksmanship'},131.8337,1,11,3
6,88.88128,,{evalType:'BasicMarksmanship'},110.9968,0,11,3
7,131.9344,,{evalType:'BasicMarksmanship'},166.1298,1,12,4
8,131.9344,,{evalType:'BasicMarksmanship'},148.3446,0,12,4
9,166.2605,,{evalType:'BasicMarksmanship'},201.2803,1,13,5
10,166.2605,,{evalType:'BasicMarksmanship'},187.8367,0,13,5
11,201.3489,,{evalType:'BasicMarksmanship'},235.3144,1,14,6
12,201.3489,,{evalType:'BasicMarksmanship'},213.3484,0,14,6
13,235.3893,,{evalType:'BasicMarksmanship'},319.0522,1,15,7
14,235.3893,,{evalType:'BasicMarksmanship'},250.0742,0,15,7
15,0,,{evalType:'BasicMarksmanship'},21.50074,1,20,8
16,0,,{evalType:'BasicMarksmanship'},21.50074,0,20,8
17,21.58816,,{evalType:'BasicMarksmanship'},86.42412,1,25,9
18,21.58816,,{evalType:'BasicMarksmanship'},57.56115,0,25,9
19,86.48717,,{evalType:'BasicMarksmanship'},128.2781,1,26,10
20,86.48717,,{evalType:'BasicMarksmanship'},103.8032,0,26,10
21,128.3758,,{evalType:'BasicMarksmanship'},171.4285,1,27,11
22,128.3758,,{evalType:'BasicMarksmanship'},171.4285,0,27,11
23,171.5706,,{evalType:'BasicMarksmanship'},215.5198,1,28,12
24,171.5706,,{evalType:'BasicMarksmanship'},215.5198,0,28,12
25,215.6149,,{evalType:'BasicMarksmanship'},316.8871,1,29,13
26,215.6149,,{evalType:'BasicMarksmanship'},316.8871,0,29,13
27,316.947,,{evalType:'BasicMarksmanship'},480.2622,1,30,14
28,316.947,,{evalType:'BasicMarksmanship'},408.9807,0,30,14
29,0,,{evalType:'BasicMarksmanship'},24.15265,1,35,15
30,0,,{evalType:'BasicMarksmanship'},24.15265,0,35,15
31,24.22072,,{evalType:'BasicMarksmanship'},168.4957,1,40,16
32,24.22072,,{evalType:'BasicMarksmanship'},168.4957,0,40,16
33,168.5774,,{evalType:'BasicMarksmanship'},245.7598,1,41,17
34,168.5774,,{evalType:'BasicMarksmanship'},245.7598,0,41,17
35,245.8183,,{evalType:'BasicMarksmanship'},345.5376,1,42,18
36,245.8183,,{evalType:'BasicMarksmanship'},345.5376,0,42,18
37,345.629,,{evalType:'BasicMarksmanship'},398.167,1,43,19
38,345.629,,{evalType:'BasicMarksmanship'},372.7741,0,43,19
39,398.2509,,{evalType:'BasicMarksmanship'},438.4282,1,44,20
40,398.2509,,{evalType:'BasicMarksmanship'},419.3667,0,44,20
41,438.5129,,{evalType:'BasicMarksmanship'},481.1638,1,45,21
42,438.5129,,{evalType:'BasicMarksmanship'},465.6294,0,45,21
43,0,,{evalType:'BasicMarksmanship'},40.65874,1,50,22
44,0,,{evalType:'BasicMarksmanship'},40.65874,0,50,22
45,40.76003,,{evalType:'BasicMarksmanship'},164.4436,1,55,23
46,40.76003,,{evalType:'BasicMarksmanship'},145.7169,0,55,23
47,164.541,,{evalType:'BasicMarksmanship'},282.2278,1,56,24
48,164.541,,{evalType:'BasicMarksmanship'},263.5549,0,56,24
49,282.3302,,{evalType:'BasicMarksmanship'},395.5667,1,57,25
50,282.3302,,{evalType:'BasicMarksmanship'},382.6196,0,57,25
51,395.6223,,{evalType:'BasicMarksmanship'},516.2184,1,58,26
52,395.6223,,{evalType:'BasicMarksmanship'},504.7078,0,58,26
53,516.307,,{evalType:'BasicMarksmanship'},655.0799,1,59,27
54,516.307,,{evalType:'BasicMarksmanship'},644.356,0,59,27
55,655.1912,,{evalType:'BasicMarksmanship'},766.2321,1,60,28
56,655.1912,,{evalType:'BasicMarksmanship'},749.4174,0,60,28
57,0,,{evalType:'BasicMarksmanship'},8.772135,1,65,29
58,0,,{evalType:'BasicMarksmanship'},8.772135,0,65,29
59,8.869896,,{evalType:'BasicMarksmanship'},831.1052,1,70,30
60,8.869896,,{evalType:'BasicMarksmanship'},831.1052,0,70,30
61,831.1962,,{evalType:'BasicMarksmanship'},955.8741,1,71,31
62,831.1962,,{evalType:'BasicMarksmanship'},955.8741,0,71,31
63,955.9678,,{evalType:'BasicMarksmanship'},1052.475,1,72,32
64,955.9678,,{evalType:'BasicMarksmanship'},1035.932,0,72,32
65,1052.59,,{evalType:'BasicMarksmanship'},1135.526,1,73,33
66,1052.59,,{evalType:'BasicMarksmanship'},1135.526,0,73,33
67,1135.58,,{evalType:'BasicMarksmanship'},1223.465,1,74,34
68,1135.58,,{evalType:'BasicMarksmanship'},1214.906,0,74,34
69,1223.529,,{evalType:'BasicMarksmanship'},1344.045,1,75,35
70,1223.529,,{evalType:'BasicMarksmanship'},1308.479,0,75,35
71,0,,{evalType:'BasicMarksmanship'},18.51296,1,81,36
72,0,,{evalType:'BasicMarksmanship'},18.51296,0,81,36
73,18.61019,,{evalType:'BasicMarksmanship'},178.3463,1,86,37
74,18.61019,,{evalType:'BasicMarksmanship'},132.2911,0,86,37
75,178.4465,,{evalType:'BasicMarksmanship'},248.036,1,87,38
76,178.4465,,{evalType:'BasicMarksmanship'},225.9265,0,87,38
77,248.1012,,{evalType:'BasicMarksmanship'},274.0327,1,88,39
78,248.1012,,{evalType:'BasicMarksmanship'},265.0203,0,88,39
79,274.1354,,{evalType:'BasicMarksmanship'},317.7895,1,89,40
80,274.1354,,{evalType:'BasicMarksmanship'},300.9456,0,89,40
81,317.8759,,{evalType:'BasicMarksmanship'},345.7159,1,90,41
82,317.8759,,{evalType:'BasicMarksmanship'},333.371,0,90,41
83,345.7909,,{evalType:'BasicMarksmanship'},377.3835,1,91,42
84,345.7909,,{evalType:'BasicMarksmanship'},367.2072,0,91,42
85,0,,{evalType:'BasicMarksmanship'},7.047223,1,96,43
86,0,,{evalType:'BasicMarksmanship'},7.047223,0,96,43
87,7.150829,,{evalType:'BasicMarksmanship'},550.8091,1,101,44
88,7.150829,,{evalType:'BasicMarksmanship'},550.8091,0,101,44
89,550.9194,,{evalType:'BasicMarksmanship'},641.851,1,102,45
90,550.9194,,{evalType:'BasicMarksmanship'},641.851,0,102,45
91,641.9161,,{evalType:'BasicMarksmanship'},719.9892,1,103,46
92,641.9161,,{evalType:'BasicMarksmanship'},713.2595,0,103,46
93,720.0796,,{evalType:'BasicMarksmanship'},806.623,1,104,47
94,720.0796,,{evalType:'BasicMarksmanship'},795.8105,0,104,47
95,806.7099,,{evalType:'BasicMarksmanship'},896.7515,1,105,48
96,806.7099,,{evalType:'BasicMarksmanship'},886.4373,0,105,48
97,896.8314,,{evalType:'BasicMarksmanship'},1083.752,1,106,49
98,896.8314,,{evalType:'BasicMarksmanship'},987.0533,0,106,49
99,0,,{evalType:'BasicMarksmanship'},7.752409,1,111,50
100,0,,{evalType:'BasicMarksmanship'},7.752409,0,111,50
101,7.82475,,{evalType:'BasicMarksmanship'},207.9725,1,116,51
102,7.82475,,{evalType:'BasicMarksmanship'},103.2825,0,116,51
103,208.0712,,{evalType:'BasicMarksmanship'},277.1462,1,117,52
104,208.0712,,{evalType:'BasicMarksmanship'},277.1462,0,117,52
105,277.2471,,{evalType:'BasicMarksmanship'},372.7505,1,118,53
106,277.2471,,{evalType:'BasicMarksmanship'},343.5345,0,118,53
107,372.8774,,{evalType:'BasicMarksmanship'},449.1099,1,119,54
108,372.8774,,{evalType:'BasicMarksmanship'},439.1863,0,119,54
109,449.2686,,{evalType:'BasicMarksmanship'},538.0377,1,120,55
110,449.2686,,{evalType:'BasicMarksmanship'},526.1017,0,120,55
111,538.1096,,{evalType:'BasicMarksmanship'},623.2037,1,121,56
112,538.1096,,{evalType:'BasicMarksmanship'},623.2037,0,121,56
113,0,,{evalType:'BasicMarksmanship'},30.59178,1,127,57
114,0,,{evalType:'BasicMarksmanship'},30.59178,0,127,57
115,30.68451,,{evalType:'BasicMarksmanship'},154.7741,1,132,58
116,30.68451,,{evalType:'BasicMarksmanship'},127.1132,0,132,58
117,154.8783,,{evalType:'BasicMarksmanship'},329.9211,1,133,59
118,154.8783,,{evalType:'BasicMarksmanship'},315.1311,0,133,59
119,329.9965,,{evalType:'BasicMarksmanship'},414.8339,1,134,60
120,329.9965,,{evalType:'BasicMarksmanship'},384.3456,0,134,60
121,414.9268,,{evalType:'BasicMarksmanship'},521.5466,1,135,61
122,414.9268,,{evalType:'BasicMarksmanship'},484.5657,0,135,61
123,521.6364,,{evalType:'BasicMarksmanship'},574.562,1,136,62
124,521.6364,,{evalType:'BasicMarksmanship'},548.8739,0,136,62
125,574.6365,,{evalType:'BasicMarksmanship'},632.5684,1,137,63
126,574.6365,,{evalType:'BasicMarksmanship'},618.2252,0,137,63
127,0,,{evalType:'BasicMarksmanship'},19.94049,1,142,64
128,0,,{evalType:'BasicMarksmanship'},19.94049,0,142,64
129,20.045,,{evalType:'BasicMarksmanship'},170.4967,1,147,65
130,20.045,,{evalType:'BasicMarksmanship'},142.5665,0,147,65
131,170.5973,,{evalType:'BasicMarksmanship'},406.1068,1,148,66
132,170.5973,,{evalType:'BasicMarksmanship'},382.3569,0,148,66
133,406.1826,,{evalType:'BasicMarksmanship'},556.6592,1,149,67
134,406.1826,,{evalType:'BasicMarksmanship'},514.0734,0,149,67
135,556.713,,{evalType:'BasicMarksmanship'},641.5491,1,150,68
136,556.713,,{evalType:'BasicMarksmanship'},628.1379,0,150,68
137,641.6484,,{evalType:'BasicMarksmanship'},760.6846,1,151,69
138,641.6484,,{evalType:'BasicMarksmanship'},727.0233,0,151,69
139,760.7923,,{evalType:'BasicMarksmanship'},822.9095,1,152,70
140,760.7923,,{evalType:'BasicMarksmanship'},816.4004,0,152,70
141,0,,{evalType:'BasicMarksmanship'},7.290484,1,158,71
142,0,,{evalType:'BasicMarksmanship'},7.290484,0,158,71
143,7.35094,,{evalType:'BasicMarksmanship'},213.7419,1,163,72
144,7.35094,,{evalType:'BasicMarksmanship'},171.3072,0,163,72
145,213.8441,,{evalType:'BasicMarksmanship'},415.1739,1,164,73
146,213.8441,,{evalType:'BasicMarksmanship'},344.0144,0,164,73
147,415.2588,,{evalType:'BasicMarksmanship'},513.7332,1,165,74
148,415.2588,,{evalType:'BasicMarksmanship'},456.5963,0,165,74
149,513.8143,,{evalType:'BasicMarksmanship'},582.0092,1,166,75
150,513.8143,,{evalType:'BasicMarksmanship'},549.8654,0,166,75
151,582.1047,,{evalType:'BasicMarksmanship'},694.2649,1,167,76
152,582.1047,,{evalType:'BasicMarksmanship'},656.8276,0,167,76
153,694.3358,,{evalType:'BasicMarksmanship'},798.5605,1,168,77
154,694.3358,,{evalType:'BasicMarksmanship'},777.0694,0,168,77
155,0,,{evalType:'BasicMarksmanship'},6.611578,1,174,78
156,0,,{evalType:'BasicMarksmanship'},6.611578,0,174,78
157,6.729291,,{evalType:'BasicMarksmanship'},136.2559,1,179,79
158,6.729291,,{evalType:'BasicMarksmanship'},124.0171,0,179,79
159,136.3548,,{evalType:'BasicMarksmanship'},230.2715,1,180,80
160,136.3548,,{evalType:'BasicMarksmanship'},230.2715,0,180,80
161,230.3815,,{evalType:'BasicMarksmanship'},410.1809,1,181,81
162,230.3815,,{evalType:'BasicMarksmanship'},381.6749,0,181,81
163,410.276,,{evalType:'BasicMarksmanship'},525.6527,1,182,82
164,410.276,,{evalType:'BasicMarksmanship'},495.5013,0,182,82
165,525.7449,,{evalType:'BasicMarksmanship'},601.4749,1,183,83
166,525.7449,,{evalType:'BasicMarksmanship'},581.8288,0,183,83
167,601.5823,,{evalType:'BasicMarksmanship'},707.7814,1,184,84
168,601.5823,,{evalType:'BasicMarksmanship'},663.8059,0,184,84
169,707.8741,,{evalType:'BasicMarksmanship'},748.6938,1,185,85
170,707.8741,,{evalType:'BasicMarksmanship'},748.6938,0,185,85
171,0,,{evalType:'BasicMarksmanship'},8.314152,1,190,86
172,0,,{evalType:'BasicMarksmanship'},8.314152,0,190,86
173,8.419056,,{evalType:'BasicMarksmanship'},157.9331,1,195,87
174,8.419056,,{evalType:'BasicMarksmanship'},121.0656,0,195,87
175,158.0033,,{evalType:'BasicMarksmanship'},346.3782,1,196,88
176,158.0033,,{evalType:'BasicMarksmanship'},316.2917,0,196,88
177,346.4723,,{evalType:'BasicMarksmanship'},434.2534,1,197,89
178,346.4723,,{evalType:'BasicMarksmanship'},417.1355,0,197,89
179,434.3383,,{evalType:'BasicMarksmanship'},557.1053,1,198,90
180,434.3383,,{evalType:'BasicMarksmanship'},516.6514,0,198,90
181,557.1894,,{evalType:'BasicMarksmanship'},635.1737,1,199,91
182,557.1894,,{evalType:'BasicMarksmanship'},617.1739,0,199,91
183,635.2435,,{evalType:'BasicMarksmanship'},723.6508,1,200,92
184,635.2435,,{evalType:'BasicMarksmanship'},707.9862,0,200,92
185,0,,{evalType:'BasicMarksmanship'},7.281524,1,205,93
186,0,,{evalType:'BasicMarksmanship'},7.281524,0,205,93
187,7.37193,,{evalType:'BasicMarksmanship'},248.2229,1,210,94
188,7.37193,,{evalType:'BasicMarksmanship'},248.2229,0,210,94
189,248.2905,,{evalType:'BasicMarksmanship'},405.2326,1,211,95
190,248.2905,,{evalType:'BasicMarksmanship'},391.3538,0,211,95
191,405.3349,,{evalType:'BasicMarksmanship'},533.9057,1,212,96
192,405.3349,,{evalType:'BasicMarksmanship'},496.9641,0,212,96
193,534.0013,,{evalType:'BasicMarksmanship'},616.5087,1,213,97
194,534.0013,,{evalType:'BasicMarksmanship'},616.5087,0,213,97
195,616.5726,,{evalType:'BasicMarksmanship'},692.0391,1,214,98
196,616.5726,,{evalType:'BasicMarksmanship'},692.0391,0,214,98
197,692.1115,,{evalType:'BasicMarksmanship'},758.1912,1,215,99
198,692.1115,,{evalType:'BasicMarksmanship'},758.1912,0,215,99
